iso_code,continent,country,date,total_cases,total_deaths,population,death_rate_per_million,cases_per_million
LBR,Africa,Liberia,12/8/2021,5832,287,5180208,55.40,1125.82
LBY,Africa,Libya,12/8/2021,376378,5518,6958538,792.98,54088.66
LCA,North America,Saint Lucia,12/8/2021,13067,283,184401,1534.70,70861.87
LIE,Europe,Liechtenstein,12/8/2021,5162,64,38254,1673.03,134940.14
LKA,Asia,Sri Lanka,12/8/2021,569928,14533,21497306,676.04,26511.60
LSO,Africa,Lesotho,12/8/2021,21838,663,2159067,307.08,10114.55
LTU,Europe,Lithuania,12/8/2021,484537,6901,2689862,2565.56,180134.52
LUX,Europe,Luxembourg,12/8/2021,92574,889,634814,1400.41,145828.54
LVA,Europe,Latvia,12/8/2021,259215,4325,1866934,2316.63,138845.29
MAR,Africa,Morocco,12/8/2021,950946,14792,37344787,396.09,25463.96
MCO,Europe,Monaco,12/8/2021,3942,36,39520,910.93,99746.96
MDA,Europe,Moldova,12/8/2021,367948,9293,4024025,2309.38,91437.80
MDG,Africa,Madagascar,12/8/2021,44800,972,28427333,34.19,1575.95
MDV,Asia,Maldives,12/8/2021,92629,255,543620,469.08,170392.92
MEX,North America,Mexico,12/8/2021,3905319,295602,130262220,2269.28,29980.44
MHL,Oceania,Marshall Islands,12/8/2021,4,,59618,0.00,67.09
MKD,Europe,North Macedonia,12/8/2021,218194,7688,2082661,3691.43,104766.93
MLI,Africa,Mali,12/8/2021,18253,621,20855724,29.78,875.20
MLT,Europe,Malta,12/8/2021,40188,468,516100,906.80,77868.63
MMR,Asia,Myanmar,12/8/2021,525403,19157,54806014,349.54,9586.59
MNE,Europe,Montenegro,12/8/2021,159034,2339,628051,3724.22,253218.29
MNG,Asia,Mongolia,12/8/2021,384288,2023,3329282,607.64,115426.69
MOZ,Africa,Mozambique,12/8/2021,152326,1941,32163045,60.35,4736.06
MRT,Africa,Mauritania,12/8/2021,39669,844,4775110,176.75,8307.45
MUS,Africa,Mauritius,12/8/2021,22156,240,1273428,188.47,17398.71
MWI,Africa,Malawi,12/8/2021,62053,2307,19647681,117.42,3158.29
MYS,Asia,Malaysia,12/8/2021,2673019,30746,32776195,938.06,81553.67
NAM,Africa,Namibia,12/8/2021,130051,3574,2587344,1381.34,50264.29
NER,Africa,Niger,12/8/2021,7119,265,25130810,10.54,283.28
NGA,Africa,Nigeria,12/8/2021,215164,2980,211400704,14.10,1017.80
NIC,North America,Nicaragua,12/8/2021,17328,214,6702379,31.93,2585.35
NLD,Europe,Netherlands,12/8/2021,2850604,20295,17173094,1181.79,165992.45
NOR,Europe,Norway,12/8/2021,300013,1134,5465629,207.48,54890.85
NPL,Asia,Nepal,12/8/2021,823357,11547,29674920,389.12,27745.89
NZL,Oceania,New Zealand,12/8/2021,12623,44,5122600,8.59,2464.18
OMN,Asia,Oman,12/8/2021,304654,4113,5223376,787.42,58325.11
PAK,Asia,Pakistan,12/8/2021,1288053,28803,225199929,127.90,5719.60
PAN,North America,Panama,12/8/2021,479563,7379,4381583,1684.09,109449.71
PER,South America,Peru,12/8/2021,2246633,201450,33359415,6038.77,67346.29
PHL,Asia,Philippines,12/8/2021,2835593,49761,111046910,448.11,25535.09
PLW,Oceania,Palau,12/8/2021,8,,18174,0.00,440.19
PNG,Oceania,Papua New Guinea,12/8/2021,35702,573,9119005,62.84,3915.12
POL,Europe,Poland,12/8/2021,3732589,86796,37797000,2296.37,98753.58
PRT,Europe,Portugal,12/8/2021,1177706,18587,10167923,1828.00,115825.62
PRY,South America,Paraguay,12/8/2021,463479,16484,7219641,2283.22,64196.96
PSE,Asia,Palestine,12/8/2021,462958,4823,5222756,923.46,88642.47
QAT,Asia,Qatar,12/8/2021,244708,611,2930524,208.50,83503.16
ROU,Europe,Romania,12/8/2021,1789539,57360,19127772,2998.78,93557.11
RUS,Europe,Russia,12/8/2021,9722639,279280,145912022,1914.03,66633.57
RWA,Africa,Rwanda,12/8/2021,100464,1344,13276517,101.23,7567.04
SAU,Asia,Saudi Arabia,12/8/2021,550043,8849,35340680,250.39,15564.02
SDN,Africa,Sudan,12/8/2021,44406,3201,44909351,71.28,988.79
SEN,Africa,Senegal,12/8/2021,74043,1886,17196308,109.67,4305.75
SGP,Asia,Singapore,12/8/2021,271297,774,5453600,141.92,49746.41
SLB,Oceania,Solomon Islands,12/8/2021,20,,703995,0.00,28.41
SLE,Africa,Sierra Leone,12/8/2021,6405,121,8141343,14.86,786.73
SLV,North America,El Salvador,12/8/2021,119803,3790,6518500,581.42,18378.92
SMR,Europe,San Marino,12/8/2021,6308,94,34010,2763.89,185474.86
SOM,Africa,Somalia,12/8/2021,23051,1331,16359500,81.36,1409.03
SRB,Europe,Serbia,12/8/2021,1268787,12036,6871547,1751.57,184643.57
SSD,Africa,South Sudan,12/8/2021,12842,133,11381377,11.69,1128.33
STP,Africa,Sao Tome and Principe,12/8/2021,3733,57,223364,255.19,16712.63
SUR,South America,Suriname,12/8/2021,51083,1175,591798,1985.47,86318.30
SVK,Europe,Slovakia,12/8/2021,1255086,15095,5460726,2764.28,229838.67
SVN,Europe,Slovenia,12/8/2021,434679,5354,2078723,2575.62,209108.67
SWE,Europe,Sweden,12/8/2021,1222892,15184,10160159,1494.46,120361.50
SWZ,Africa,Eswatini,12/8/2021,49253,1248,1172369,1064.51,42011.52
SYC,Africa,Seychelles,12/8/2021,23750,127,98910,1284.00,240117.28
SYR,Asia,Syria,12/8/2021,48901,2793,18275704,152.83,2675.74
TCD,Africa,Chad,12/8/2021,5703,181,16914985,10.70,337.16
TGO,Africa,Togo,12/8/2021,26350,243,8478242,28.66,3107.96
THA,Asia,Thailand,12/8/2021,2156587,21084,69950844,301.41,30830.04
TJK,Asia,Tajikistan,12/8/2021,17493,125,9749625,12.82,1794.22
TLS,Asia,Timor,12/8/2021,19829,122,1343875,90.78,14755.09
TON,Oceania,Tonga,12/8/2021,1,,106759,0.00,9.37
TTO,North America,Trinidad and Tobago,12/8/2021,77482,2320,1403374,1653.16,55211.23
TUN,Africa,Tunisia,12/8/2021,718866,25413,11935764,2129.15,60227.90
TUR,Asia,Turkey,12/8/2021,8966681,78407,85042736,921.97,105437.35
TWN,Asia,Taiwan,12/8/2021,16688,848,23855008,35.55,699.56
TZA,Africa,Tanzania,12/8/2021,26309,734,61498438,11.94,427.80
UGA,Africa,Uganda,12/8/2021,127822,3261,47123533,69.20,2712.49
UKR,Europe,Ukraine,12/8/2021,3692939,94979,43466822,2185.09,84959.95
URY,South America,Uruguay,12/8/2021,401640,6138,3485152,1761.19,115243.18
USA,North America,United States,12/8/2021,49543526,793230,332915074,2382.68,148817.31
UZB,Asia,Uzbekistan,12/8/2021,194904,1425,33935765,41.99,5743.32
VAT,Europe,Vatican,12/8/2021,27,,812,0.00,33251.23
VCT,North America,Saint Vincent and the Grenadines,12/8/2021,5645,76,111269,683.03,50732.91
VEN,South America,Venezuela,12/8/2021,435825,5208,28704947,181.43,15182.92
VNM,Asia,Vietnam,12/8/2021,1352122,26930,98168829,274.32,13773.44
VUT,Oceania,Vanuatu,12/8/2021,6,1,314464,3.18,19.08
WSM,Oceania,Samoa,12/8/2021,3,,200144,0.00,14.99
YEM,Asia,Yemen,12/8/2021,10047,1956,30490639,64.15,329.51
ZAF,Africa,South Africa,12/8/2021,3071064,90038,60041996,1499.58,51148.60
ZMB,Africa,Zambia,12/8/2021,210436,3668,18920657,193.86,11122.02
ZWE,Africa,Zimbabwe,12/8/2021,150628,4720,15092171,312.74,9980.54
